1.11,100,100,100
1.12,100,100,100
1.13,100,100,100
1.14,100,100,100
1.15,100,100,100
100,1.11,100,100
100,1.12,100,100
100,1.13,100,100
100,1.14,100,100
100,1.15,100,100
100,100,1.11,100
100,100,1.12,100
100,100,1.13,100
100,100,1.14,100
100,100,1.15,100
100,100,100,1.11
100,100,100,1.12
100,100,100,1.13
100,100,100,1.14
100,100,100,1.15
1.11,100,100,100
1.12,100,100,100
1.13,100,100,100
1.14,100,100,100
1.15,100,100,100
100,1.11,100,100
100,1.12,100,100
100,1.13,100,100
100,1.14,100,100
100,1.15,100,100
100,100,1.11,100
100,100,1.12,100
100,100,1.13,100
100,100,1.14,100
100,100,1.15,100
100,100,100,1.11
100,100,100,1.12
100,100,100,1.13
100,100,100,1.14
100,100,100,1.15
1.11,100,100,100
1.12,100,100,100
1.13,100,100,100
1.14,100,100,100
1.15,100,100,100
100,1.11,100,100
100,1.12,100,100
100,1.13,100,100
100,1.14,100,100
100,1.15,100,100
100,100,1.11,100
100,100,1.12,100
100,100,1.13,100
100,100,1.14,100
100,100,1.15,100
100,100,100,1.11
100,100,100,1.12
100,100,100,1.13
100,100,100,1.14
100,100,100,1.15
1.11,100,100,100
1.12,100,100,100
1.13,100,100,100
1.14,100,100,100
1.15,100,100,100
100,1.11,100,100
100,1.12,100,100
100,1.13,100,100
100,1.14,100,100
100,1.15,100,100
100,100,1.11,100
100,100,1.12,100
100,100,1.13,100
100,100,1.14,100
100,100,1.15,100
100,100,100,1.11
100,100,100,1.12
100,100,100,1.13
100,100,100,1.14
100,100,100,1.15
1.11,100,100,100
1.12,100,100,100
1.13,100,100,100
1.14,100,100,100
1.15,100,100,100
100,1.11,100,100
100,1.12,100,100
100,1.13,100,100
100,1.14,100,100
100,1.15,100,100
100,100,1.11,100
100,100,1.12,100
100,100,1.13,100
100,100,1.14,100
100,100,1.15,100
100,100,100,1.11
100,100,100,1.12
100,100,100,1.13
100,100,100,1.14
100,100,100,1.15
